iter	Passed	Remaining
398	106647	26995
399	106869	26717
400	107124	26447
401	107445	26193
402	107731	25930
403	107979	25658
404	108284	25400
405	108547	25131
406	108792	24859
407	108997	24577
408	109329	24325
409	109578	24053
410	109832	23783
411	110072	23510
412	110359	23247
413	110624	22979
414	110846	22703
415	111048	22423
416	111331	22159
417	111574	21887
418	111864	21625
419	112134	21358
420	112329	21078
421	112638	20819
422	112886	20549
423	113150	20281
424	113382	20008
425	113727	19755
426	113952	19481
427	114225	19215
428	114503	18950
429	114742	18679
430	114959	18404
431	115205	18134
432	115473	17867
433	115738	17600
434	115999	17333
435	116219	17059
436	116453	16788
437	116720	16522
438	116965	16252
439	117213	15983
440	117473	15716
441	117693	15443
442	117932	15174
443	118153	14902
444	118417	14635
445	118703	14372
446	118952	14104
447	119235	13839
448	119498	13573
449	119745	13305
450	120011	13038
451	120309	12776
452	120601	12512
453	120938	12253
454	121291	11995
455	121534	11726
456	121779	11458
457	122081	11195
458	122334	10927
459	122592	10660
460	122899	10397
461	123146	10128
462	123409	9862
463	123641	9592
464	123902	9325
465	124131	9056
466	124390	8789
467	124634	8522
468	124864	8253
469	125103	7985
470	125606	7733
471	125842	7465
472	126156	7201
473	126470	6937
474	126739	6670
475	127052	6405
476	127342	6140
477	127582	5871
478	127868	5605
479	128091	5337
480	128295	5067
481	128531	4799
482	128767	4532
483	128970	4263
484	129241	3997
485	129521	3731
486	129754	3463
487	130180	3201
488	130476	2935
489	130755	2668
490	131015	2401
491	131265	2134
492	131534	1867
493	131839	1601
494	132107	1334
495	132507	1068
496	132744	801
497	133084	534
498	133518	267
499	133938	0
