iter	Logloss
0	0.6265766741
1	0.5970950823
2	0.583381442
3	0.5766855029
4	0.5723669056
5	0.5702142776
6	0.5674356422
7	0.5654860123
8	0.5640323986
9	0.5628000238
10	0.5617190832
11	0.5602271623
12	0.5593475422
13	0.5587261591
14	0.5582450718
15	0.5571809318
16	0.5564254934
17	0.5553908433
18	0.5547993752
19	0.5541637743
20	0.5537470229
21	0.5532401482
22	0.5526529739
23	0.5522580164
24	0.5516825075
25	0.5512633368
26	0.5509196976
27	0.5507021571
28	0.5501734488
29	0.5498886912
30	0.5495160292
31	0.5491338421
32	0.5489335671
33	0.5482418918
34	0.5480606998
35	0.5477224011
36	0.5473665269
37	0.5468842914
38	0.5464214302
39	0.5462081393
40	0.5459889311
41	0.5458425485
42	0.5454981378
43	0.5451633342
44	0.5447335693
45	0.5444935128
46	0.544309746
47	0.5441003667
48	0.5438038091
49	0.5435580917
50	0.5433835595
51	0.5430539128
52	0.5428870287
53	0.5426316268
54	0.5423408243
55	0.5419902541
56	0.5417494831
57	0.5415890831
58	0.5413032402
59	0.5410392575
60	0.5408862799
61	0.5406970478
62	0.5404944752
63	0.5402291653
64	0.5399712258
65	0.5398163864
66	0.5395276096
67	0.5393504409
68	0.5391851827
69	0.5390179289
70	0.5386967795
71	0.5385588228
72	0.5384258262
73	0.5381996724
74	0.5379559946
75	0.5377562428
76	0.5376412552
77	0.5374738974
78	0.5373425092
79	0.5369391285
80	0.5367258316
81	0.5366128004
82	0.5365070628
83	0.5362773814
84	0.5362124529
85	0.5360075379
86	0.5357978885
87	0.535570795
88	0.535402379
89	0.5352881783
90	0.5350610531
91	0.5348674997
92	0.5346061978
93	0.5344960934
94	0.5343342682
95	0.5342071295
96	0.5341139828
97	0.5339420734
98	0.5338556516
99	0.5337458437
100	0.533564481
101	0.5334497988
102	0.5331738947
103	0.5330073098
104	0.5329046208
105	0.5328131142
106	0.5326094178
107	0.5325328807
108	0.5324447485
109	0.5323113072
110	0.5321315296
111	0.5320681813
112	0.5318871493
113	0.5317885477
114	0.5316613457
115	0.5315158025
116	0.5313590146
117	0.5312749195
118	0.5311385647
119	0.5310376819
120	0.5308996012
121	0.5308377431
122	0.5307313476
123	0.5306528446
124	0.5305493371
125	0.5304511735
126	0.5302514907
127	0.5301372332
128	0.530019892
129	0.5298011056
130	0.5296542084
131	0.5295549899
132	0.5294467012
133	0.5293322143
134	0.5292169541
135	0.5291428044
136	0.5290416013
137	0.5289068039
138	0.5287765301
139	0.5286983785
140	0.5285798182
141	0.528519994
142	0.5284021235
143	0.5282924326
144	0.528210155
145	0.5281162933
146	0.5280182927
147	0.5279355773
148	0.527777007
149	0.5276601234
150	0.527589129
151	0.5274856115
152	0.527405614
153	0.5273397382
154	0.5272367182
155	0.5271404483
156	0.527063692
157	0.5269972879
158	0.5269664873
159	0.5268849096
160	0.5268147394
161	0.5266350417
162	0.52652373
163	0.5264600164
164	0.5264007711
165	0.5263255667
166	0.5261111599
167	0.5260216619
168	0.5259193438
169	0.5258520912
170	0.5257912013
171	0.5256677412
172	0.5256249784
173	0.5255885284
174	0.525507173
