iter	Logloss
175	0.5254069111
176	0.5253101362
177	0.5252325477
178	0.5251575803
179	0.5250902182
180	0.5249605745
181	0.5248545322
182	0.5246920852
183	0.5246121092
184	0.5245192427
185	0.5244186778
186	0.5243379697
187	0.5242484986
188	0.5241961896
189	0.5241123551
190	0.5240522505
191	0.5240161372
192	0.5239210383
193	0.5238241982
194	0.5237623592
195	0.5237046066
196	0.523605665
197	0.5235448522
198	0.5234250918
199	0.5233641461
200	0.5233265488
201	0.5232711784
202	0.5232384966
203	0.5232155083
204	0.5231594952
205	0.5230386572
206	0.5229285827
207	0.5228419515
208	0.5227623576
209	0.522657074
210	0.5225658066
211	0.5225020033
212	0.522413388
213	0.5223990669
214	0.522324548
215	0.5222239073
216	0.5221647665
217	0.5221251188
218	0.5220282923
219	0.5218754595
220	0.5218144293
221	0.5217370363
222	0.5216795978
223	0.5216280598
224	0.521540545
225	0.5214744479
226	0.5214481583
227	0.5213871935
228	0.5212557281
229	0.521207189
230	0.5211513493
231	0.5211267164
232	0.5210407998
233	0.5209662361
234	0.5209077423
235	0.5208481151
236	0.5207872297
237	0.5207185603
238	0.520677695
239	0.5205670514
240	0.5205046063
241	0.5204085721
242	0.5203672999
243	0.5203176836
244	0.5202311801
245	0.5201753641
246	0.5201260898
247	0.5200730449
248	0.5200056465
249	0.5199451869
250	0.5198820226
251	0.5198429925
252	0.5197675648
253	0.5197136631
254	0.5196608425
255	0.5196386295
256	0.5196348738
257	0.5195689243
258	0.5194820535
259	0.5193255385
260	0.519230832
261	0.5191611932
262	0.519114447
263	0.5190593205
264	0.5190262041
265	0.5189895505
266	0.5189357105
267	0.5188759615
268	0.5188588145
269	0.5188306
270	0.5188040042
271	0.5187444373
272	0.5187408808
273	0.5187020655
274	0.5185885108
275	0.5185269089
276	0.5184811567
277	0.518458657
278	0.5184386083
279	0.5182878476
280	0.5182651944
281	0.5181845992
282	0.5180851078
283	0.5180379083
284	0.5179764228
285	0.5179301873
286	0.5179068386
287	0.5178590938
288	0.5177767016
289	0.51771389
290	0.5176632239
291	0.5176050916
292	0.5175546245
293	0.5174839472
294	0.5174247669
295	0.5173931929
296	0.517292772
297	0.5172220711
298	0.5171734738
299	0.5171288532
300	0.5171167092
301	0.5170512298
302	0.5170189407
303	0.5169758766
304	0.5169190486
305	0.516863318
306	0.5168319144
307	0.5167977959
308	0.5167646837
309	0.5166931227
310	0.5165841326
311	0.5165407193
312	0.5165359303
313	0.5164046404
314	0.5163538336
315	0.5163243298
316	0.5163136136
317	0.5162572284
318	0.5162256751
319	0.5161695741
320	0.5161080237
321	0.5160075478
322	0.5159265384
323	0.5158223737
324	0.5157648705
325	0.5157096023
326	0.5156354802
327	0.5156335785
328	0.5155891303
329	0.5154866781
330	0.5154278755
331	0.5153990187
332	0.5153567271
333	0.5153325498
334	0.5152764127
335	0.5152318013
336	0.5151929187
337	0.5151614553
338	0.5151256489
339	0.5150706207
340	0.5150088638
341	0.514979582
342	0.5149217782
343	0.5148481824
344	0.5147805832
345	0.5147206612
346	0.5146765575
347	0.5146205131
348	0.5145641223
349	0.5145194889
350	0.5144693523
351	0.5143961089
352	0.5143635019
353	0.51431659
354	0.5142681999
355	0.5141900311
356	0.5141591133
357	0.5141252967
358	0.5140785655
359	0.5140532572
360	0.5140322941
361	0.5139470548
362	0.5138951201
363	0.5138517538
364	0.5138031898
365	0.5137549677
366	0.513743719
367	0.5136924312
368	0.513642724
369	0.5136003656
370	0.5135552091
371	0.5135149758
372	0.5134736635
373	0.5134477897
374	0.5133968039
375	0.5133480031
376	0.5133102388
377	0.5132303878
378	0.513148337
379	0.513017211
380	0.5129455219
381	0.5129356631
382	0.5128792089
383	0.5128466962
384	0.5127824434
385	0.5127043135
386	0.5126671267
387	0.512647305
388	0.5125575612
389	0.5125131626
390	0.5124740336
391	0.512408727
392	0.5123189364
393	0.5122971317
394	0.5122313976
395	0.5121506078
396	0.5121055114
397	0.5120823001
398	0.5120231885
399	0.5119615297
400	0.5119497584
401	0.5118878084
402	0.5118731341
403	0.5118402973
404	0.5117912989
405	0.5117274085
406	0.5116827609
407	0.511624313
408	0.511596437
409	0.5115603698
410	0.511466862
411	0.5114201569
412	0.5113748263
413	0.511358897
414	0.5113297299
415	0.5112665924
416	0.5112230811
417	0.5111759653
418	0.5111427143
419	0.5111058639
420	0.5110748442
421	0.5110377795
422	0.5109942671
423	0.5109472885
424	0.5108882467
425	0.510868268
426	0.5108083383
427	0.5107906917
428	0.5107484824
429	0.5106723951
430	0.5106200921
431	0.5105410133
432	0.5104927939
433	0.5104412565
434	0.5103884322
435	0.510345404
436	0.5103393858
437	0.5102646782
438	0.510218607
439	0.5101597691
440	0.5101111964
441	0.5100657241
442	0.5100129463
443	0.5099322116
444	0.5098856873
445	0.5098463671
446	0.5098239455
447	0.5097982765
448	0.509745259
449	0.5096869685
450	0.5096217368
451	0.5095718925
452	0.5095306082
453	0.5094611964
454	0.5094212022
455	0.5092959431
456	0.5091177969
457	0.5090798406
458	0.5090264986
459	0.5089688442
460	0.5089607632
461	0.5089084923
462	0.5088868363
463	0.5088070155
464	0.508797369
465	0.5086596922
466	0.5086072529
467	0.5085237412
468	0.5084799067
469	0.5084484193
470	0.5084210789
471	0.5083845962
472	0.5083436842
473	0.508302428
474	0.5082600369
475	0.5082243805
476	0.5081758585
477	0.5081520682
478	0.5080909589
479	0.5080409003
480	0.5079897655
481	0.507965843
482	0.5079471173
483	0.507902297
484	0.5077422479
485	0.5077078826
486	0.5076183328
487	0.507573088
488	0.5075566328
489	0.5075312831
490	0.5074758556
491	0.5074455597
492	0.5074194486
493	0.5073826832
494	0.5073300523
495	0.507297842
496	0.5072860037
497	0.5072347204
498	0.507196978
499	0.5071705365
